"hospital_id","year","state","g","p","charity_care","uninsured_cost","medicaid_mix","hospital_ownership_type"
501335,2020,"washington",2014,1,0.0355479752732799,0.00857678004442735,0.199269060173925,"non-profit"
501335,2021,"washington",2014,1,0.0294762770408028,0.00578576487595135,0.185845251913573,"non-profit"
501335,2022,"washington",2014,1,0.0266089655146212,0.00790745845582543,0.163475920348965,"non-profit"
501335,2023,"washington",2014,1,0.0187174435025803,0.00901084193137004,0.170991291518021,"non-profit"
501317,2011,"washington",2014,0,-0.00641160886624861,0.0322100216261206,0.185768006972421,"governmental"
501317,2012,"washington",2014,0,0.0528695351821571,0.0280727479735218,0.194017996914954,"governmental"
501317,2013,"washington",2014,0,0.0221639866403562,0.0283794059487192,0.156098027884552,"governmental"
501317,2014,"washington",2014,0,0.0405264902504954,0.0239188147927591,0.159050592016249,"governmental"
501317,2015,"washington",2014,0,0.0680888148181003,0.0184762650397086,0.1260921387045,"governmental"
501317,2016,"washington",2014,0,-0.00630703843715603,0.0133989296275055,0.125265164448238,"governmental"
501317,2017,"washington",2014,0,-0.00994098287536598,0.0229528428867433,0.193903731841805,"governmental"
501317,2018,"washington",2014,0,-0.00675653510653464,0.0143714805275909,0.222612062647473,"governmental"
501317,2019,"washington",2014,0,-0.0239433747456266,0.0229904688290629,0.216044807535838,"governmental"
501317,2020,"washington",2014,0,-0.07565788253459,0.0277535965725738,0.205766852600095,"governmental"
501317,2021,"washington",2014,0,-0.00918601736539327,0.0168329638467657,0.193426997484395,"governmental"
501317,2022,"washington",2014,0,-0.0172028515956414,0.0218324864763906,0.202978027572687,"governmental"
501317,2023,"washington",2014,0,-0.00754957481143278,0.028331071513746,0.204119115958492,"governmental"
500014,2011,"washington",2014,1,0.0435203139777621,0.017589810244433,0.101797486942537,"non-profit"
500014,2012,"washington",2014,1,0.0402459396645448,0.0162400114900203,0.104805390789801,"non-profit"
500014,2013,"washington",2014,1,0.0304557697503646,0.0128914753997168,0.140775508203983,"non-profit"
500014,2014,"washington",2014,1,0.0263984878617207,0.00925309239014879,0.156363837843455,"non-profit"
